Date/time,Endpoint,Retry counter
24-02-2025 18:03:13,/api/v1/markets/US100,1
06-03-2025 16:44:06,/api/v1/accounts,1
13-03-2025 22:24:31,/api/v1/positions,1
13-03-2025 22:24:46,/api/v1/positions,2
13-03-2025 22:25:01,/api/v1/positions,3
13-03-2025 22:25:16,/api/v1/positions,4
13-03-2025 22:25:31,/api/v1/positions,5
14-03-2025 21:10:45,/api/v1/positions,1
14-03-2025 21:11:00,/api/v1/positions,2
14-03-2025 21:11:15,/api/v1/positions,3
14-03-2025 21:11:30,/api/v1/positions,4
14-03-2025 21:11:46,/api/v1/positions,5
14-03-2025 21:12:01,/api/v1/positions,6
14-03-2025 21:12:16,/api/v1/positions,7
14-03-2025 21:12:31,/api/v1/positions,8
14-03-2025 21:12:46,/api/v1/positions,9
17-03-2025 15:08:22,/api/v1/positions,1
17-03-2025 15:08:37,/api/v1/positions,2
17-03-2025 15:08:52,/api/v1/positions,3
17-03-2025 15:09:07,/api/v1/positions,4
17-03-2025 15:09:22,/api/v1/positions,5
17-03-2025 15:09:37,/api/v1/positions,6
17-03-2025 15:09:53,/api/v1/positions,7
17-03-2025 15:10:08,/api/v1/positions,8
27-03-2025 10:50:52,/api/v1/markets/US100,1
27-03-2025 10:52:07,/api/v1/markets/US100,2
27-03-2025 10:52:38,/api/v1/markets/US100,3
27-03-2025 11:01:15,/api/v1/markets/US100,1
27-03-2025 11:02:30,/api/v1/markets/US100,2
27-03-2025 11:03:45,/api/v1/markets/US100,3
27-03-2025 11:05:00,/api/v1/markets/US100,4
27-03-2025 11:06:15,/api/v1/markets/US100,5
27-03-2025 11:07:30,/api/v1/markets/US100,6
27-03-2025 11:08:45,/api/v1/markets/US100,7
27-03-2025 11:10:00,/api/v1/markets/US100,8
27-03-2025 11:13:44,/api/v1/markets/US100,1
27-03-2025 11:15:00,/api/v1/markets/US100,2
27-03-2025 11:16:15,/api/v1/markets/US100,3
27-03-2025 11:16:45,/api/v1/markets/US100,4
27-03-2025 11:18:00,/api/v1/markets/US100,5
27-03-2025 11:18:30,/api/v1/markets/US100,6
27-03-2025 11:19:00,/api/v1/markets/US100,7
27-03-2025 11:19:30,/api/v1/markets/US100,8
27-03-2025 11:20:00,/api/v1/markets/US100,9
27-03-2025 20:09:36,/api/v1/markets/US100,1
01-04-2025 18:28:39,/api/v1/markets/US100,1
01-04-2025 18:29:54,/api/v1/markets/US100,2
01-04-2025 18:30:24,/api/v1/markets/US100,3
01-04-2025 18:30:54,/api/v1/markets/US100,4
01-04-2025 18:31:24,/api/v1/markets/US100,5
01-04-2025 18:31:54,/api/v1/markets/US100,6
01-04-2025 18:32:25,/api/v1/markets/US100,7
01-04-2025 18:32:55,/api/v1/markets/US100,8
01-04-2025 18:33:25,/api/v1/markets/US100,9
01-04-2025 18:34:03,/api/v1/accounts,1
01-04-2025 18:34:18,/api/v1/accounts,2
01-04-2025 20:11:21,/api/v1/accounts,1
01-04-2025 20:11:21,/api/v1/markets/US100,1
01-04-2025 20:11:51,/api/v1/accounts,2
01-04-2025 20:11:51,/api/v1/markets/US100,2
01-04-2025 20:12:22,/api/v1/accounts,3
01-04-2025 20:12:22,/api/v1/markets/US100,3
01-04-2025 20:12:52,/api/v1/accounts,4
01-04-2025 20:12:52,/api/v1/markets/US100,4
01-04-2025 20:13:22,/api/v1/accounts,5
01-04-2025 20:13:22,/api/v1/markets/US100,5
01-04-2025 20:13:52,/api/v1/markets/US100,6
01-04-2025 20:13:52,/api/v1/accounts,6
01-04-2025 20:14:07,/api/v1/accounts,7
01-04-2025 20:14:07,/api/v1/markets/US100,7
01-04-2025 20:14:23,/api/v1/accounts,8
01-04-2025 20:14:23,/api/v1/markets/US100,8
01-04-2025 20:14:38,/api/v1/accounts,9
01-04-2025 20:14:38,/api/v1/markets/US100,9
01-04-2025 22:07:29,/api/v1/markets/US100,1
01-04-2025 22:07:29,/api/v1/accounts,1
01-04-2025 22:07:44,/api/v1/markets/US100,2
01-04-2025 22:07:44,/api/v1/accounts,2
01-04-2025 22:20:02,/api/v1/markets/US100,1
02-04-2025 01:23:58,/api/v1/markets/US100,1
02-04-2025 01:24:28,/api/v1/markets/US100,2
02-04-2025 01:25:43,/api/v1/markets/US100,3
02-04-2025 01:26:13,/api/v1/markets/US100,4
02-04-2025 01:27:29,/api/v1/markets/US100,5
02-04-2025 01:28:44,/api/v1/markets/US100,6
02-04-2025 01:29:14,/api/v1/markets/US100,7
02-04-2025 01:35:52,/api/v1/markets/US100,1
02-04-2025 01:36:22,/api/v1/markets/US100,2
02-04-2025 01:37:37,/api/v1/markets/US100,3
02-04-2025 01:38:08,/api/v1/markets/US100,4
02-04-2025 01:38:38,/api/v1/markets/US100,5
02-04-2025 01:39:08,/api/v1/markets/US100,6
02-04-2025 01:39:38,/api/v1/markets/US100,7
02-04-2025 01:40:08,/api/v1/markets/US100,8
02-04-2025 01:40:38,/api/v1/markets/US100,9
02-04-2025 01:57:51,/api/v1/accounts,1
02-04-2025 01:59:48,/api/v1/accounts,1
02-04-2025 02:01:03,/api/v1/accounts,2
02-04-2025 02:01:33,/api/v1/accounts,3
02-04-2025 02:02:48,/api/v1/accounts,4
02-04-2025 02:04:03,/api/v1/accounts,5
02-04-2025 02:04:33,/api/v1/accounts,6
02-04-2025 02:05:03,/api/v1/accounts,7
02-04-2025 02:05:34,/api/v1/accounts,8
02-04-2025 02:06:49,/api/v1/accounts,9
02-04-2025 11:46:42,/api/v1/accounts,1
02-04-2025 11:46:42,/api/v1/markets/US100,1
02-04-2025 11:46:57,/api/v1/accounts,2
02-04-2025 11:46:57,/api/v1/markets/US100,2
02-04-2025 11:47:12,/api/v1/accounts,3
02-04-2025 11:47:12,/api/v1/markets/US100,3
02-04-2025 16:27:29,/api/v1/markets/US100,1
02-04-2025 16:27:45,/api/v1/markets/US100,2
02-04-2025 16:28:00,/api/v1/markets/US100,3
02-04-2025 16:49:20,/api/v1/markets/US100,1
02-04-2025 16:49:20,/api/v1/accounts,1
02-04-2025 17:15:41,/api/v1/markets/US100,1
02-04-2025 22:42:17,/api/v1/markets/US100,1
